id,title,body,category,priority
TK-0,Bloccato su configurazione prezzi per nuovi clienti,"Ho bisogno di fare una call riguardo alla struttura dei costi commerciali. Sto cercando di applicare le tariffe corrette ai nuovi contratti, ma il sistema mi blocca ogni volta che inserisco un volume superiore alle 500 unità. Potreste darmi indicazioni su come superare questo limite o se è necessaria una modifica al mio profilo utente? Grazie.",Commerciale,Media
TK-1,Chiarimento su come configurare meglio l'accesso al database,"Ho bisogno di fare una call su un piccolo problema che ho con il collegamento al DB. Non mi viene chiaro se devo usare le credenziali X o quelle Y per questo report specifico. Ci possiamo vedere quando sei libero, grazie.",Tecnico,Bassa
TK-2,Mancato funzionamento dell'accesso al portale clienti,"Ciao, ho bisogno di assistenza urgente con l'accesso al portale. Non riesco a superare la fase di autenticazione nonostante abbia verificato tutte le credenziali. Ho provato ad accedere stamattina per un preventivo e mi sono bloccato subito.",Commerciale,Alta
TK-3,Aiuto: Non trovo come fare a cambiare l'indirizzo di fatturazione,"Ciao! Scusa se ti disturbo. Volevo sapere dove posso modificare l'indirizzo che usate per le bollette, non ricordo più dov'è impostato. Grazie mille!",Amministrazione,Bassa
TK-4,Info per gestione note spese e rimborsi,"Gentile supporto, vi contatto perché non riesco a caricare correttamente le ricevute digitali nel sistema. Ho provato più volte ma ricevo sempre un messaggio di errore generico. Potreste indicarmi la procedura corretta o se c'è un problema tecnico con il portale?",Amministrazione,Bassa
TK-5,Mancato funzionamento del sistema di gestione pagamenti,"Da stamattina sto provando a fare un pagamento e continua a dare errore. Non capisco perché non funzioni se ho controllato tutti i dati. Mi serve una soluzione immediata, questo sta rallentando tutto il reparto.",Amministrazione,Media
TK-6,Non riesco ad accedere al sistema CRM,"Ho un problema: Non riesco a loggarmi sul sistema CRM da stamattina. Ho provato con la password corretta più volte, ma mi chiede sempre credenziali errate. Potreste verificare se ci sono problemi di rete o se il mio account è stato bloccato?",Tecnico,Alta
TK-7,Bloccato su non riesco ad accedere al report di vendita,"Da stamattina sto provando a caricare i dati del mese scorso ma mi dà sempre errore. Non capisco se è il formato o se c'è un problema col sistema, perché prima andava benissimo. Aiuto, per favore.",Tecnico,Media
TK-8,Non va l'accesso al portale amministrativo,"Buongiorno, non riesco ad accedere alla sezione pagamenti del portale. Ho provato con le credenziali abituali ma mi chiede sempre la password e non accetta nulla. Potreste verificare se ci sono problemi di sistema o se devo seguire una procedura diversa?",Amministrazione,Bassa
TK-9,Errore con l'accesso al sistema amministrativo,"Vorrei segnalare che non riesco a accedere alla sezione pagamenti online. Ho provato due volte e mi dà sempre un messaggio di errore generico. Potreste darmi una mano, per favore? Grazie mille!",Amministrazione,Alta
TK-10,Bloccato su approvazione spese viaggio,"Ho un problema: Devo inviare urgentemente una richiesta di rimborso per le spese sostenute durante il recente viaggio a Milano. Il sistema non mi permette di inoltrare la documentazione nonostante i dati siano stati inseriti correttamente. Potreste verificare l'accesso alla funzione o indicarmi la procedura alternativa più rapida? Grazie, sono Marco Rossi.",Amministrazione,Alta
TK-11,Errore con l'accesso ai documenti amministrativi,"Buongiorno, ho un problema a scaricare i file di bilancio dell'ultimo mese. Non trovo la sezione giusta nel portale e mi dà sempre errore 403 quando ci provo. Potete darmi una mano? Sono Marco Rossi.",Amministrazione,Media
TK-12,Bloccato su invio report mensile,"Ciao! Ho un problema con l'invio del report di questo mese, non mi carica proprio. Mi serve per domani mattina. Grazie mille!",Tecnico,Alta
TK-13,Aiuto: Revisione costi abbonamento annuale per cliente B2B,"Ho già provato a riavviare l'accesso al portale, ma non riesco ancora ad accedere alla sezione gestione contratti. Potrei avere bisogno di una verifica sui dettagli tariffari del nostro attuale piano aziendale.",Commerciale,Bassa
TK-14,Richiesta chiarimenti sulle condizioni di vendita e i costi nascosti,Buongiorno. Non capisco proprio come funziona questa transazione. Mi avete inviato un preventivo che non corrisponde a nulla di quanto avevamo concordato telefonicamente la settimana scorsa. Ho sprecato ore a cercare le clausole contrattuali perché sono troppo confuse. Serve una spiegazione chiara e immediata su cosa devo firmare esattamente.,Commerciale,Media
TK-15,Mancato funzionamento del modulo di approvazione spese,"Ho necessità di segnalare un problema relativo al sistema amministrativo. Non riesco ad inoltrare le richieste di rimborso per i viaggi aziendali, anche se ho controllato che tutti i campi obbligatori siano compilati correttamente. Potreste verificare la mia autorizzazione utente o l'integrità del modulo? Grazie.",Amministrazione,Media
TK-16,Bloccato su sincronizzazione dati tra ambienti dev/prod,"Potete dare un occhiata a questo? Ho notato che i parametri di configurazione non si stanno aggiornando correttamente dopo il push. Non è un blocco totale, ma sembra una discrepanza sui valori specifici. Grazie mille.",Tecnico,Bassa
TK-17,Aiuto: Problema con la configurazione dei prezzi per i nuovi clienti,"Vi scrivo perché riscontro un errore nella visualizzazione dei listini prezzi per le nuove attivazioni contrattuali. Nonostante l'ultimo aggiornamento del sistema, alcuni parametri tariffari non vengono applicati correttamente. Potreste verificare la corretta implementazione di queste variabili? Grazie.",Commerciale,Media
TK-18,Info per i costi di spedizione e pagamenti,"Buongiorno! Eccomi di nuovo. Volevo sapere se posso pagare via PayPal o solo con carta di credito. Ho provato a fare un ordine ma mi è saltata la schermata dei metodi di pagamento ed è stato un po' strano. Per favore, potreste darmi qualche dettaglio in più su questo? Grazie.",Commerciale,Media
